,overnight_gt_180,overnight_gt_250,overnight_gte_70_lte_180,overnight_gte_70_lte_150,overnight_lt_70,overnight_lt_54,daytime_gt_180,daytime_gt_250,daytime_gte_70_lte_180,daytime_gte_70_lte_150,daytime_lt_70,daytime_lt_54,whole_day_gt_180,whole_day_gt_250,whole_day_gte_70_lte_180,whole_day_gte_70_lte_150,whole_day_lt_70,whole_day_lt_54
Manual Mode,0.788050625,0.170447074,1.84227071,1.273072814,0.036961703,0,4.539714826,1.918823964,3.800891683,2.697444116,0.146942801,0.055226824,5.32776545,2.089271039,5.643162393,3.97051693,0.183904504,0.055226824
Auto Mode,5.538605358,1.071314103,22.69793721,18.59845496,0.336415187,0.067307692,43.90518162,13.53870809,56.0298118,37.83651792,1.867480276,0.443355523,49.44378698,14.61002219,78.72774901,56.43497288,2.203895464,0.510663215
